time,snr_lw1,snr_lw2,snr_lw3,snr_lw4
2025-04-20 22:45:16.069140,3.706802,-2.569721,3.092037,-5.018435
2025-04-20 22:45:17.022438,5.833607,-2.706423,5.518513,-5.441959
2025-04-20 22:45:18.070301,5.812225,-3.143011,4.628452,-6.403006
2025-04-20 22:45:19.061877,5.449104,-3.368011,5.841747,-4.00868
2025-04-20 22:45:20.152442,5.062759,-4.016853,4.146908,-4.89595
2025-04-20 22:45:21.146598,6.912231,-3.08395,4.51709,-4.808578
2025-04-20 22:45:22.142868,6.145618,-1.359505,4.424484,-7.763292
2025-04-20 22:45:23.151830,5.898273,-2.770231,3.57671,-3.984201
2025-04-20 22:45:24.210760,7.153416,-3.597322,4.352154,-4.268461
2025-04-20 22:45:25.247925,7.137672,-1.554903,3.776531,-16.253033
2025-04-20 22:45:26.325895,8.163143,-1.178083,2.142632,-2.819849
2025-04-20 22:45:27.268642,7.717922,-1.972782,3.530849,-4.066658
2025-04-20 22:45:28.303929,7.225754,0.001013,3.106068,-4.049532
2025-04-20 22:45:29.266427,8.624668,-1.527637,3.637321,-2.343225
2025-04-20 22:45:30.363431,8.534466,-0.848585,4.208378,-2.753225
2025-04-20 22:45:31.304500,9.207016,-1.923866,2.693665,-4.660622
2025-04-20 22:45:32.321974,10.012138,-2.611389,2.881618,-3.284771
2025-04-20 22:45:33.329742,8.924229,-1.545837,3.042305,-4.066095
2025-04-20 22:45:34.358065,10.926182,-1.809078,1.192898,-2.665289
2025-04-20 22:45:35.381055,11.94751,0.009504,2.112,-2.47455
2025-04-20 22:45:36.393257,12.552273,-1.273525,2.538486,-3.748358
2025-04-20 22:45:37.407460,14.003124,-0.377878,1.140572,-3.694391
2025-04-20 22:45:38.485162,12.104305,-1.686975,1.104996,-2.851082
2025-04-20 22:45:39.423654,13.095047,-0.995033,1.906519,-2.203581
2025-04-20 22:45:40.449948,13.642727,-0.483482,0.118206,-3.685171
2025-04-20 22:45:41.446826,14.203926,-1.412218,1.102011,-1.178333
2025-04-20 22:45:42.535426,13.884869,-1.086042,1.444353,-7.46026
2025-04-20 22:45:43.530173,16.427391,0.49379,0.651285,-3.536814
2025-04-20 22:45:44.580632,16.372715,0.912035,2.018383,-1.595356
2025-04-20 22:45:45.594964,17.070248,-0.301956,1.049442,-3.542208
2025-04-20 22:45:46.629046,15.609058,1.183167,1.931656,-3.464334
2025-04-20 22:45:47.679541,18.66888,-0.17417,-3.477684,-5.057358
2025-04-20 22:45:48.648684,19.83633,-2.360958,0.849823,-3.370838
2025-04-20 22:45:49.669475,17.84201,1.508379,-1.493156,-1.633888
2025-04-20 22:45:50.669828,18.119984,0.928699,-0.328764,-2.278812
2025-04-20 22:45:51.675631,19.788601,1.216198,0.750854,-3.141619
2025-04-20 22:45:52.739354,19.218204,0.363586,-0.452194,-1.77334
2025-04-20 22:45:53.743032,19.542271,0.158913,-1.175695,-3.436613
2025-04-20 22:45:54.821819,15.736595,0.282249,-0.787483,-1.304815
2025-04-20 22:45:55.837284,18.135948,0.891399,0.336683,-1.438065
2025-04-20 22:45:56.854271,18.368713,0.658068,-0.629225,-1.624609
